"","stat","pval","tf","pval.adjusted","rank"
"MA0839.1",-3.15332368665837,0.00161428281328685,"CREB3L1",0.00261226676510194,203
"MA0130.1",-3.11216139356536,0.0018572919967746,"ZNF354C",0.00299252662979233,204
"MA0081.2",-3.09833139079005,0.00194620206010906,"SPIB",0.00312229405772335,205
"MA1116.1",-3.0893294160256,0.00200615608734907,"RBPJ",0.00321157176215109,206
"MA0733.1",-3.08519920512855,0.00203422658244407,"EGR4",0.00324953539722329,207
"MA0698.1",-3.07422013622658,0.00211060802244347,"ZBTB18",0.00336434526654451,208
"MA0672.1",-3.02810762644632,0.00246098844048418,"NKX2-3",0.00391449334030106,209
"MA0605.2",-2.98888005005895,0.0028001121952277,"ATF3",0.00442560105432174,210
"MA0259.1",-2.98569340487834,0.00282945655694428,"ARNT::HIF1A",0.00446252556338357,211
"MA0080.5",-2.92747325800701,0.00341739355244985,"SPI1",0.00535583107169661,212
"MA0679.2",-2.84429219660107,0.00445116256235556,"ONECUT1",0.0069322907547333,213
"MA1547.1",-2.80014082318084,0.00510819700628011,"PITX2",0.00792248433822237,214
"MA0699.1",-2.78715556392328,0.00531747115351055,"LBX2",0.00821290575676784,215
"MA0500.2",-2.77586976750778,0.00550559562073485,"MYOG",0.00846840068673855,216
"MA0038.2",-2.72734552706454,0.00638481044777462,"GFI1",0.00980055266263347,217
"MA0911.1",-2.6904025872788,0.00713682635969018,"Hoxa11",0.0109323869904084,218
"MA1552.1",-2.68342622217765,0.00728742691791066,"RARB(var.3)",0.0111402059031995,219
"MA0864.2",-2.68251880242257,0.00730724500839571,"E2F2",0.0111476580291681,220
"MA0852.2",-2.66717747217846,0.00764935754043464,"FOXK1",0.0116220381367907,221
"MA0052.4",-2.62426101902234,0.00868397690258434,"MEF2A",0.013060981389774,222
"MA0101.1",-2.6221386840328,0.0087382446943614,"REL",0.0131161580321803,223
"MA0906.1",-2.60996206356231,0.009055523354303,"HOXC12",0.0135651012496186,224
"MA1420.1",-2.57538123564877,0.0100132612033183,"IRF5",0.014880264656724,225
"MA0030.1",-2.55958218511811,0.0104801141631313,"FOXF2",0.015543071899992,226
"MA0818.1",-2.5578382439524,0.0105328624054211,"BHLHE22",0.0155903082429447,227
"MA0878.2",-2.53171487838542,0.0113509601660551,"CDX1",0.0167018072660298,228
"MA1635.1",-2.53059699535344,0.0113871844660642,"BHLHE22(var.2)",0.0167221252198501,229
"MA1546.1",-2.52501461446722,0.0115697181569651,"PAX3(var.2)",0.0169567971416424,230
"MA1655.1",-2.47691758942144,0.0132526225074502,"ZNF341",0.0192343509543926,231
"MA1501.1",-2.47315527448707,0.0133930203075618,"HOXB7",0.0194003750474584,232
"MA0638.1",-2.46944059644957,0.0135328288774394,"CREB3",0.0195522811284094,233
"MA0647.1",-2.46897956241921,0.0135503074308146,"GRHL1",0.0195522811284094,234
"MA0700.2",-2.45971052723116,0.0139053265637623,"LHX2",0.0199872324018625,235
"MA0673.1",-2.45056811573903,0.0142635041814218,"NKX2-8",0.0204626425371936,236
"MA0088.2",-2.44228432341212,0.0145950529726479,"ZNF143",0.0208580642099527,237
"MA0116.1",-2.42478854987045,0.0153177275492418,"Znf423",0.0217657614318751,238
"MA0767.1",-2.38928389758228,0.0168817303384519,"GCM2",0.0239425300997816,239
"MA0091.1",-2.38047201996246,0.0172909585211619,"TAL1::TCF3",0.0244300285166417,240
"MA0868.2",-2.37301642153793,0.0176439777088134,"SOX8",0.0248816774494797,241
"MA1544.1",-2.34079127060324,0.0192435361225062,"OVOL1",0.0269337297324383,242
"MA0680.1",-2.33448177139878,0.0195711206115514,"PAX7",0.0272898242546118,243
"MA0757.1",-2.33027605795936,0.0197921049143333,"ONECUT3",0.0275223679832411,244
"MA1502.1",-2.311317652616,0.0208159828252514,"HOXB8",0.0288637977465382,245
"MA0140.2",-2.2955637016076,0.0217014334490325,"GATA1::TAL1",0.0300357501910543,246
"MA0036.3",-2.27423723669234,0.0229523601478406,"GATA2",0.0315912558492418,247
"MA0607.1",-2.26454153596166,0.023541507704216,"Bhlha15",0.0322866744492805,248
"MA0741.1",-2.26449702084619,0.0235441701077863,"KLF16",0.0322866744492805,249
"MA0711.1",-2.19387176920121,0.0282454787976434,"OTX1",0.0385918080275494,250
"MA1474.1",-2.1905795963693,0.0284829546847752,"CREB3L4",0.0388451264987976,251
"MA0754.1",-2.13313387022186,0.0329147272331929,"CUX1",0.0446443391199307,252
"MA0485.2",-2.11274376795245,0.0346236771737973,"HOXC9",0.0468382622508556,253
"MA0465.2",-2.1083075448013,0.0350052700005719,"CDX2",0.0471370603256798,254
"MA0063.2",-2.10122752973074,0.0356219015660432,"NKX2-5",0.0478809703932761,255
"MA0732.1",-2.09748972226937,0.0359511236033161,"EGR3",0.0482365795109242,256
"MA0105.4",-1.97240870700335,0.0485641291599112,"NFKB1",0.0646943577737388,257
"MA0069.1",-1.95648319273301,0.0504095019918137,"PAX6",0.0670329563028396,258
"MA0676.1",-1.94844901392066,0.051362475230592,"Nr2e1",0.0681786592918534,259
"MA1628.1",-1.9429321864419,0.052025554720468,"Zic1::Zic2",0.0689361701979914,260
"MA1509.1",-1.93670643987945,0.052782569667992,"IRF6",0.069815242858727,261
"MA1596.1",-1.85056946469775,0.0642329396862659,"ZNF460",0.0837723304299902,262
"MA0770.1",-1.82109757375691,0.0685935554853537,"HSF2",0.089147721937411,263
"MA0132.2",-1.72655269366452,0.0842500685487497,"PDX1",0.108363019202357,264
"MA1529.1",-1.71460659361869,0.0864192124812541,"NHLH2",0.110840684734686,265
"MA0047.3",-1.69971066091298,0.0891872706996856,"FOXA2",0.114122991324126,266
"MA1583.1",-1.6610880843825,0.0966977985941974,"ZFP57",0.123521502998752,267
"MA0665.1",-1.6488283815021,0.0991848819461978,"MSC",0.126481917832245,268
"MA1151.1",-1.63284463934907,0.10250385146403,"RORC",0.130491251181172,269
"MA0731.1",-1.62877433896097,0.103362931909679,"BCL6B",0.131360727776185,270
"MA0024.3",-1.59442858139956,0.110842551066174,"E2F1",0.140388018837633,271
"MA0799.1",-1.58577068139504,0.112793637404162,"RFX4",0.142375725048231,272
"MA0756.1",-1.57615368233638,0.11499282599062,"ONECUT2",0.144662138598655,273
"MA0040.1",-1.56670101967002,0.117186973011162,"Foxq1",0.147174211896173,274
"MA1503.1",-1.54867927253048,0.121461553488844,"HOXB9",0.152286250256601,275
"MA0610.1",-1.54058508407567,0.123420548233588,"DMRT3",0.154482766748753,276
"MA1657.1",-1.52805860248034,0.126500525880249,"ZNF652",0.157808348338906,277
"MA1468.1",-1.52578977855289,0.127065052157096,"ATOH7",0.158247961451074,278
"MA0905.1",-1.52482166869092,0.127306327207107,"HOXC10",0.158284200160836,279
"MA0719.1",-1.5119763571873,0.130542608179648,"RHOXF1",0.162037912981726,280
"MA1497.1",-1.49400882257016,0.135176241037424,"HOXA6",0.167510757165977,281
"MA0794.1",-1.48557958181759,0.137393215570147,"PROX1",0.169975686260912,282
"MA0761.2",-1.46431805737154,0.143109782869365,"ETV1",0.176754798047262,283
"MA1104.2",-1.45775751064064,0.144910257062991,"GATA6",0.178009178731229,284
"MA0724.1",-1.45714393372438,0.145079866847972,"VENTX",0.178009178731229,285
"MA0908.1",-1.44445514600929,0.148614192353756,"HOXD11",0.182046284886539,286
"MA1600.1",-1.40310204862173,0.160589391789014,"ZNF684",0.19543178837619,287
"MA0112.3",-1.30379440805016,0.192307155804479,"ESR1",0.231924888715667,288
"MA0468.1",-1.29885124886241,0.19399860277639,"DUX4",0.233424125276107,289
"MA0639.1",-1.28548894969308,0.198625044671367,"DBP",0.238222320457941,290
"MA1108.2",-1.27419632009616,0.202597495013903,"MXI1",0.242596679422747,291
"MA1524.1",-1.25618795392065,0.209051697545422,"MSGN1",0.249923984565521,292
"MA0882.1",-1.22233164507292,0.221586615144507,"DLX6",0.263642129023608,293
"MA0678.1",-1.21148549198388,0.22571394675476,"OLIG2",0.26769889392536,294
"MA0909.2",-1.19078978151391,0.233740183735479,"HOXD13",0.27677805883598,295
"MA0660.1",-1.17584730914898,0.239660026657958,"MEF2B",0.282889841593096,296
"MA1576.1",-1.15700113847693,0.247276001564135,"THRB(var.3)",0.290958828338872,297
"MA1489.1",-1.15439550676941,0.248342216332038,"FOXN3",0.291753217927087,298
"MA0014.3",-1.13878044531303,0.254798945607767,"PAX5",0.298398765185862,299
"MA0832.1",-1.13349490155978,0.25701079066581,"Tcf21",0.300517319493251,300
"MA0734.2",-1.12701862218996,0.259738826774595,"GLI2",0.303231869755631,301
"MA0497.1",-1.09739823944307,0.272471732078213,"MEF2C",0.316610455031693,302
